"","DORSAL","NOMBRE","POSICION","EDAD","VALOR DE MERCADO"
"1",12,"Gabriel AriasG. Arias","Portero",33,"3,80 mill. €"
"2",1,"Claudio BravoC. Bravo","Portero",38,"1,00 mill. €"
"3",23,"Gabriel CastellónG. Castellón","Portero",27,"450 mil €"
"4",3,"Guillermo MaripánG. Maripán","Defensa central",27,"12,00 mill. €"
"5",18,"Sebastián VegasS. Vegas","Defensa central",24,"6,00 mill. €"
"6",5,"Enzo RocoEnzo Roco","Defensa central",28,"2,00 mill. €"
"7",6,"Francisco SierraltaF. Sierralta","Defensa central",24,"1,50 mill. €"
"8",15,"Daniel GonzálezD. González","Defensa central",19,"500 mil €"
"9",2,"Eugenio MenaE. Mena","Lateral izquierdo",33,"1,80 mill. €"
"10",4,"Mauricio IslaM. Isla","Lateral derecho",33,"950 mil €"
"11",13,"Erick PulgarE. Pulgar","Pivote",27,"9,00 mill. €"
"12",28,"Claudio BaezaC. Baeza","Pivote",27,"4,00 mill. €"
"13",14,"Pablo GaldamesP. Galdames","Pivote",24,"3,10 mill. €"
"14",19,"Tomás AlarcónT. Alarcón","Pivote",22,"1,50 mill. €"
"15",17,"Gary MedelG. Medel","Pivote",33,"1,00 mill. €"
"16",20,"Charles AránguizC. Aránguiz","Mediocentro",32,"6,00 mill. €"
"17",8,"Arturo VidalA. Vidal","Mediocentro",34,"3,50 mill. €"
"18",25,"Marcelino NúñezM. Núñez","Mediocentro",21,"800 mil €"
"19",7,"César PinaresC. Pinares","Mediocentro ofensivo",30,"1,40 mill. €"
"20",27,"Pablo AránguizP. Aránguiz","Mediocentro ofensivo",24,"900 mil €"
"21",9,"Jean MenesesJ. Meneses","Extremo izquierdo",28,"5,00 mill. €"
"22",26,"Clemente MontesC. Montes","Extremo izquierdo",20,"850 mil €"
"23",21,"Carlos PalaciosC. Palacios","Extremo derecho",21,"2,00 mill. €"
"24",11,"Eduardo VargasE. Vargas","Mediapunta",31,"3,00 mill. €"
"25",7,"Alexis SánchezA. Sánchez","Delantero centro",32,"7,50 mill. €"
"26",22,"Ben Brereton DíazB. Brereton Díaz","Delantero centro",22,"7,00 mill. €"
"27",16,"Felipe MoraF. Mora","Delantero centro",27,"4,00 mill. €"
"28",3,"Diego ValenciaD. Valencia","Delantero centro",21,"600 mil €"
"29",24,"Luciano ArriagadaL. Arriagada","Delantero centro",19,"25 mil €"
